d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1890472.45,1948908.99
2018-2019,1890472.45,1926699.85
2019-2020,2251375.18,2228134.17
2020-2021,2573704.69,2450992.21
2021-2022,2573704.69,2392839.30
2022-2023,2573704.69,2302961.75
