d_fiscal_year,total,total_constant_2019_dollars
2017-2018,15225780.45,15639250.34
2018-2019,11794524.79,12011245.21
2019-2020,4507505.97,4417298.11
2020-2021,19235498.26,18314005.15
2021-2022,55151047.91,51594978.00
