owner_org,d_fiscal_year,total
aafc-aac,2018-2019,52160
aafc-aac,2019-2020,62377.15000000001
cfia-acia,2018-2019,85617
csc-scc,2017-2018,2612407.52
csc-scc,2018-2019,589566.4600000001
csc-scc,2019-2020,228172.98999999996
csc-scc,2020-2021,932824.0400000002
dfo-mpo,2017-2018,380295.04
dfo-mpo,2019-2020,203025.38
dnd-mdn,2017-2018,655285.5
dnd-mdn,2018-2019,690519.1629117016
dnd-mdn,2019-2020,394155.88708829845
dnd-mdn,2020-2021,2033992.91492236
isc-sac,2020-2021,98715.75
pc,2019-2020,307360.77
pc,2020-2021,599722.5291183295
pwgsc-tpsgc,2018-2019,82937.07936363637
pwgsc-tpsgc,2019-2020,760.8906363636364
rcmp-grc,2019-2020,82846.05
tc,2017-2018,100500.7
tc,2018-2019,246395.7055214724
tc,2019-2020,147354.29447852762
