d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,408777.50,418413.23
0_other,2018-2019,41948.99,42361.73
0_other,2020-2021,24995.60,23536.31
1_facilities_and_construction,2018-2019,73450.00,74172.67
2_professional_services,2019-2020,48816.00,47838.55
2_professional_services,2021-2022,31820.80,28740.55
6_industrial_products_and_services,2017-2018,3915294.32,4022059.66
6_industrial_products_and_services,2018-2019,1437217.00,1458854.37
6_industrial_products_and_services,2019-2020,1015303.32,1004563.99
6_industrial_products_and_services,2020-2021,1335585.84,1266297.23
6_industrial_products_and_services,2021-2022,1410059.85,1313430.72
