d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2020-2021,18000.12,17293.99
11_defence,2017-2018,113263.98,116942.64
2_professional_services,2017-2018,1167105.17,1202483.94
2_professional_services,2018-2019,1279751.25,1302317.22
2_professional_services,2019-2020,1660388.21,1644800.61
2_professional_services,2020-2021,997971.91,950680.20
2_professional_services,2021-2022,764176.80,714588.46
3_information_technology,2017-2018,119735.16,123404.95
3_information_technology,2018-2019,66688.26,67631.15
3_information_technology,2019-2020,35956.34,36048.42
9_human_capital,2017-2018,33894.12,34887.25
