d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1433998.43,1471602.77
2018-2019,1346839.37,1365493.32
2019-2020,1696739.65,1692980.89
2020-2021,1015972.03,998187.01
2021-2022,764330.41,573354.48
