normalized_vendor_name,original_vendor_name
MOTOR COACH INDUSTRIES,Motor Coach Industries
MOTOR COACH INDUSTRIES,"Motor Coach Industries, Ltd."
MOTOR COACH INDUSTRIES,Motor Coach Industries Ltd
MOTOR COACH INDUSTRIES,MOTOR COACH INDUSTRIES LTD
