d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
CISION CANADA,2022-2023,39663.00,35458.37
IRON MOUNTAIN,2022-2023,5642.27,5048.73
KPMG,2022-2023,29997.00,26579.83
MEDIA Q,2022-2023,5335.51,4754.57
"NATIONS TRANSLATION GROUP",2022-2023,39889.00,35577.37
