d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,35799.00,36686.41
0_other,2019-2020,284937.00,282900.69
0_other,2020-2021,51880.65,48963.10
0_other,2021-2022,326692.53,268325.12
1_facilities_and_construction,2017-2018,403214045.28,413685856.66
1_facilities_and_construction,2018-2019,418438427.82,425128675.22
1_facilities_and_construction,2019-2020,421830233.29,418517342.42
1_facilities_and_construction,2020-2021,312559743.19,297253970.32
1_facilities_and_construction,2021-2022,213735635.28,166871282.04
10_office_management,2017-2018,14015201.95,14382979.66
10_office_management,2018-2019,17478260.33,17748406.38
10_office_management,2019-2020,13179940.36,13058483.46
10_office_management,2020-2021,11847945.36,11261747.79
10_office_management,2021-2022,15584671.07,10967216.05
2_professional_services,2017-2018,34153903.07,35028850.41
2_professional_services,2018-2019,35784851.16,36329397.89
2_professional_services,2019-2020,36005882.77,35672833.41
2_professional_services,2020-2021,27588919.07,26211557.85
2_professional_services,2021-2022,36097805.37,24023069.58
3_information_technology,2017-2018,13743886.78,14095180.04
3_information_technology,2018-2019,11016018.47,11173571.86
3_information_technology,2019-2020,13557015.92,13379578.17
3_information_technology,2020-2021,12638824.05,11988362.23
3_information_technology,2021-2022,14456725.30,8979757.06
4_medical,2017-2018,127707.45,130956.18
4_medical,2018-2019,159188.19,161597.63
4_medical,2019-2020,126806.31,126007.05
4_medical,2020-2021,141112.08,134173.68
4_medical,2021-2022,227119.18,132547.03
5_transportation_and_logistics,2017-2018,51393027.36,52737275.46
5_transportation_and_logistics,2018-2019,36601163.10,37200002.56
5_transportation_and_logistics,2019-2020,29261837.98,28969317.81
5_transportation_and_logistics,2020-2021,22794966.15,21678006.85
5_transportation_and_logistics,2021-2022,29924717.69,20662074.75
6_industrial_products_and_services,2017-2018,17259360.59,17699816.13
6_industrial_products_and_services,2018-2019,19664076.06,19966265.17
6_industrial_products_and_services,2019-2020,22019785.32,21770634.25
6_industrial_products_and_services,2020-2021,16043349.60,15212164.19
6_industrial_products_and_services,2021-2022,20459519.91,11838225.42
7_travel,2017-2018,16194.21,16607.32
7_travel,2018-2019,419291.43,426519.69
7_travel,2019-2020,175339.80,174511.97
7_travel,2020-2021,440845.01,421716.23
7_travel,2021-2022,48666.33,37752.21
8_security_and_protection,2017-2018,3199690.03,3283569.78
8_security_and_protection,2018-2019,2910458.55,2958723.58
8_security_and_protection,2019-2020,2737504.11,2711077.48
8_security_and_protection,2020-2021,2590188.72,2465850.72
8_security_and_protection,2021-2022,3354534.78,2652283.51
9_human_capital,2017-2018,650405.76,667268.92
9_human_capital,2018-2019,789277.54,801037.73
9_human_capital,2019-2020,767205.56,759839.66
9_human_capital,2020-2021,1173036.99,1112889.20
9_human_capital,2021-2022,1403071.17,890884.25
