owner_org,d_fiscal_year,total,total_constant_2019_dollars
osfi-bsif,2021-2022,45307.01,34417.03
pc,2020-2021,39953.81,39539.27
pc,2021-2022,39666.38,17014.53
pch,2019-2020,42360.00,42418.09
pch,2020-2021,278444.68,275412.42
pch,2021-2022,39962.45,30357.09
pco-bcp,2017-2018,9145.04,9302.13
pco-bcp,2018-2019,415226.46,420917.57
pco-bcp,2019-2020,732425.49,731507.98
pco-bcp,2020-2021,738060.74,725738.90
pco-bcp,2021-2022,532069.97,404181.86
phac-aspc,2017-2018,238399.81,243194.54
phac-aspc,2018-2019,97350.19,98483.08
phac-aspc,2020-2021,6413778.19,6086558.65
phac-aspc,2021-2022,31060213.10,23669548.28
ps-sp,2019-2020,24916.50,24900.55
ps-sp,2021-2022,58066.28,0.00
psc-cfp,2017-2018,25616.14,26322.50
psic-ispc,2017-2018,24835.14,25261.74
pwgsc-tpsgc,2017-2018,1607844.96,1650697.68
pwgsc-tpsgc,2018-2019,3163266.16,3205518.36
pwgsc-tpsgc,2019-2020,3745766.19,3737335.65
pwgsc-tpsgc,2020-2021,4120606.53,4028627.12
pwgsc-tpsgc,2021-2022,2396635.27,1702647.41
rcmp-grc,2019-2020,2255.70,2258.80
rcmp-grc,2020-2021,11435.16,11194.88
rcmp-grc,2021-2022,11435.16,8686.61
ssc-spc,2017-2018,1025412.19,1052567.26
ssc-spc,2018-2019,815336.03,825793.92
ssc-spc,2019-2020,3169155.00,3161066.03
ssc-spc,2020-2021,4641779.63,4532119.37
ssc-spc,2021-2022,5571897.77,4240439.35
statcan,2018-2019,24905.20,25127.15
statcan,2019-2020,67389.53,67355.92
statcan,2020-2021,1044126.61,994194.69
statcan,2021-2022,134686.48,41560.02
tbs-sct,2017-2018,529740.01,543409.68
tbs-sct,2018-2019,768440.59,777134.75
tbs-sct,2019-2020,1917992.61,1913610.06
tbs-sct,2020-2021,2312773.61,2264045.58
tbs-sct,2021-2022,2158535.99,1650764.08
tc,2017-2018,253903.61,261965.63
tc,2018-2019,755606.83,766365.05
tc,2019-2020,1369434.92,1366592.11
tc,2020-2021,1397935.67,1367492.70
tc,2021-2022,1269470.52,857733.45
vac-acc,2019-2020,84750.00,84866.20
wd-deo,2017-2018,21000.00,21420.39
wd-deo,2018-2019,49350.00,49973.64
wd-deo,2020-2021,26250.00,25756.11
