owner_org,d_fiscal_year,total
aandc-aadnc,2017-2018,656306.13
aandc-aadnc,2018-2019,558859.85
aandc-aadnc,2019-2020,312308.87
aandc-aadnc,2020-2021,11497.499999999998
acoa-apeca,2020-2021,10041.75
atssc-scdata,2017-2018,21210.50711323764
atssc-scdata,2018-2019,24212.2
atssc-scdata,2019-2020,28734.533857729137
atssc-scdata,2020-2021,17416.966142270863
cas-satj,2018-2019,25000
cbsa-asfc,2017-2018,308435.13
cfia-acia,2017-2018,23040.888633818588
cfia-acia,2018-2019,23040.888633818588
cfia-acia,2019-2020,23071.79
cgc-ccg,2018-2019,14010.03
cgc-ccg,2019-2020,11753.55
cgc-ccg,2020-2021,10967.985519125683
cic,2017-2018,297327.6854285714
cic,2018-2019,473696.1245714286
cic,2019-2020,463028.39726775954
cic,2020-2021,1338394.809634645
cics-scic,2019-2020,107824.6
cihr-irsc,2017-2018,14916
cihr-irsc,2018-2019,14916
cihr-irsc,2019-2020,15311.680000000002
cihr-irsc,2020-2021,15115.52
cnsc-ccsn,2017-2018,37929.49
cnsc-ccsn,2018-2019,38277.3
cnsc-ccsn,2019-2020,37157.54
cnsc-ccsn,2020-2021,35722.91
cra-arc,2017-2018,8318762.691925632
cra-arc,2018-2019,8219079.546336631
cra-arc,2019-2020,8460752.935099933
cra-arc,2020-2021,8721261.274489108
csa-asc,2017-2018,22979.29
csa-asc,2018-2019,11863.92
csa-asc,2019-2020,13449.93
csa-asc,2020-2021,14183.017715053764
csc-scc,2017-2018,11300
csc-scc,2018-2019,217548.05
csc-scc,2019-2020,385716.43000000005
csc-scc,2020-2021,33429.884456521744
cta-otc,2017-2018,17739.10134197131
cta-otc,2018-2019,17739.10134197131
cta-otc,2019-2020,17787.701619620544
cta-otc,2020-2021,17739.10134197131
dfatd-maecd,2017-2018,199999.83
dfatd-maecd,2018-2019,180021.36
dfatd-maecd,2019-2020,216973.39242053792
dfatd-maecd,2020-2021,178484.1075794621
dfo-mpo,2017-2018,14994.050500000001
dfo-mpo,2018-2019,26266.29
dnd-mdn,2017-2018,47201.362397820165
dnd-mdn,2018-2019,66541.42239782016
dnd-mdn,2019-2020,44650.876866485014
dnd-mdn,2020-2021,56443.5
ec,2017-2018,14773.955399858685
ec,2018-2019,117716.8550873587
ec,2019-2020,198640
ec,2020-2021,21900
elections,2020-2021,14946.750000000002
esdc-edsc,2017-2018,550022.7126073106
esdc-edsc,2018-2019,710123.0692032006
esdc-edsc,2019-2020,640863.7276640404
esdc-edsc,2020-2021,575853.7839817656
fcac-acfc,2017-2018,6677.644285714285
fcac-acfc,2018-2019,19935.43571428571
fcac-acfc,2019-2020,361.4206349206349
fcac-acfc,2020-2021,10147.579365079364
feddevontario,2017-2018,10184
hc-sc,2017-2018,1094330.2860499173
hc-sc,2018-2019,1182554.5559441063
hc-sc,2019-2020,3110693.6257697577
hc-sc,2020-2021,1394333.4430989514
iaac-aeic,2020-2021,40661.94
ic,2017-2018,173706.14995305164
ic,2018-2019,185351.75995305166
ic,2019-2020,165182.91999999998
ic,2020-2021,193714.15
infc,2017-2018,4628.772810218978
infc,2018-2019,4628.772810218978
infc,2019-2020,4641.454379562044
irb-cisr,2019-2020,244891.03
irb-cisr,2020-2021,265806.67000000004
isc-sac,2017-2018,57747.28753029996
isc-sac,2018-2019,703931.915082089
isc-sac,2019-2020,489626.71743083006
isc-sac,2020-2021,433118.8995604811
jus,2017-2018,697817.7286140374
jus,2018-2019,678011.7817992761
jus,2019-2020,828261.7228120625
jus,2020-2021,972100.9353465185
nfb-onf,2017-2018,28220.500000000004
nfb-onf,2019-2020,34500
nfb-onf,2020-2021,37366.880000000005
nrcan-rncan,2017-2018,515258.20635646686
nrcan-rncan,2018-2019,317393.58433106577
nrcan-rncan,2019-2020,284017.53129251703
nrcan-rncan,2020-2021,214263.06437641723
osfi-bsif,2017-2018,22520.19568306011
osfi-bsif,2018-2019,42316.28999999999
osfi-bsif,2019-2020,30750.179999999997
osfi-bsif,2020-2021,19257.109999999997
osgg-bsgg,2017-2018,27321.06694045175
osgg-bsgg,2018-2019,27321.06694045175
osgg-bsgg,2019-2020,27395.91917864477
osgg-bsgg,2020-2021,27321.06694045175
pbc-clcc,2017-2018,68803.29
pbc-clcc,2018-2019,52945.86
pbc-clcc,2019-2020,38091.06
pbc-clcc,2020-2021,43551.16
pc,2017-2018,19169.04947027463
pc,2018-2019,19210.239653424815
pc,2019-2020,19262.87044699584
pc,2020-2021,15451.6354409706
pch,2017-2018,5173.88
pch,2018-2019,5173.88
pco-bcp,2017-2018,150290
pco-bcp,2019-2020,89792.3211678832
pco-bcp,2020-2021,66605.83941605838
phac-aspc,2017-2018,27958.7425268248
phac-aspc,2018-2019,34234.86877155054
phac-aspc,2019-2020,25355.763692062155
phac-aspc,2020-2021,426822.4619944008
ppsc-sppc,2018-2019,393480
ppsc-sppc,2019-2020,502802.7256
ppsc-sppc,2020-2021,493816.3884069085
pwgsc-tpsgc,2017-2018,20686.85972006714
pwgsc-tpsgc,2018-2019,53736.08751520669
pwgsc-tpsgc,2019-2020,30437.148947049165
