d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,10959.13,11278.81
1_facilities_and_construction,2020-2021,41183.75,39463.94
1_facilities_and_construction,2021-2022,21985.86,20063.05
11_defence,2020-2021,23000.00,21709.85
3_information_technology,2017-2018,18830.32,19274.19
3_information_technology,2018-2019,22545.87,22966.32
6_industrial_products_and_services,2017-2018,37659.96,38568.21
6_industrial_products_and_services,2018-2019,11760.24,11907.90
6_industrial_products_and_services,2019-2020,23924.36,23422.61
6_industrial_products_and_services,2020-2021,2288678.31,2193601.32
