d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,8675800.19,8946581.28
11_defence,2018-2019,3238789.80,3313553.27
11_defence,2019-2020,592835.52,586455.64
11_defence,2020-2021,1018719.27,971252.03
11_defence,2021-2022,263170.30,249892.25
6_industrial_products_and_services,2017-2018,81896.16,84154.39
6_industrial_products_and_services,2018-2019,48094.72,48798.29
6_industrial_products_and_services,2019-2020,23116.60,22565.95
6_industrial_products_and_services,2020-2021,45844.34,43376.85
9_human_capital,2017-2018,23520.00,24192.17
9_human_capital,2018-2019,18028.64,18182.39
9_human_capital,2019-2020,2311.36,2319.77
9_human_capital,2021-2022,27720.00,25910.81
