d_fiscal_year,total,total_constant_2019_dollars
2017-2018,69192.02,71279.66
2018-2019,1124234.98,1137293.06
2019-2020,4550779.91,4493499.31
2020-2021,6712344.04,6402330.93
2021-2022,9866951.92,9209798.36
