d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2019-2020,16901.90,16649.92
1_facilities_and_construction,2020-2021,3619.02,3440.49
1_facilities_and_construction,2021-2022,3619.02,3360.06
10_office_management,2017-2018,5213.76,5336.66
10_office_management,2018-2019,98410.47,99688.01
10_office_management,2019-2020,584516.48,572537.52
10_office_management,2020-2021,17616.01,16747.02
10_office_management,2021-2022,59270.37,54268.66
2_professional_services,2018-2019,445215.52,450106.90
2_professional_services,2019-2020,2406535.46,2382718.90
2_professional_services,2020-2021,5048852.68,4797223.84
2_professional_services,2021-2022,6973332.36,6459316.12
3_information_technology,2017-2018,63978.26,65628.57
3_information_technology,2018-2019,565196.81,571800.38
3_information_technology,2019-2020,1243185.36,1223989.94
3_information_technology,2020-2021,1503168.22,1427776.97
3_information_technology,2021-2022,2671488.10,2475068.16
4_medical,2020-2021,10922.62,10378.68
5_transportation_and_logistics,2021-2022,7907.63,7142.17
6_industrial_products_and_services,2021-2022,12439.34,11235.21
7_travel,2019-2020,19685.66,19566.61
7_travel,2020-2021,3295.71,3111.08
8_security_and_protection,2019-2020,103123.80,101440.28
8_security_and_protection,2020-2021,11703.55,11105.94
8_security_and_protection,2021-2022,15806.52,14834.43
9_human_capital,2018-2019,15412.19,15570.25
9_human_capital,2019-2020,176831.25,174816.51
9_human_capital,2020-2021,113166.24,107474.55
9_human_capital,2021-2022,123088.58,113605.29
