d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2018-2019,112358.71,114320.49
it_consulting_services,2019-2020,308836.51,305982.94
it_consulting_services,2020-2021,609918.63,580374.48
it_consulting_services,2021-2022,982954.46,921770.41
it_devices_equipment,2018-2019,277310.41,279675.39
it_devices_equipment,2019-2020,381548.78,372617.87
it_devices_equipment,2020-2021,315243.35,302075.81
it_devices_equipment,2021-2022,611840.03,568711.09
it_other,2017-2018,63978.26,65922.22
it_other,2018-2019,171474.82,173725.09
it_other,2019-2020,303448.48,298480.32
it_other,2020-2021,286651.40,274006.61
it_other,2021-2022,695978.45,647230.82
it_software_licensing,2018-2019,4052.86,4087.43
it_software_licensing,2019-2020,249351.59,247378.01
it_software_licensing,2020-2021,291354.84,277725.80
it_software_licensing,2021-2022,380715.17,356211.11
