d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,1192792.1028706334
1_facilities_and_construction,2018-2019,1177846.7795532017
1_facilities_and_construction,2019-2020,1203370.019724896
1_facilities_and_construction,2020-2021,1332005.3009529149
2_professional_services,2017-2018,878472.1827146083
2_professional_services,2018-2019,1007350.7497800621
2_professional_services,2019-2020,941060.6534142272
2_professional_services,2020-2021,297084.39923667157
3_information_technology,2017-2018,128281.805
3_information_technology,2018-2019,128281.805
