d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2782150.30,2852113.94
2018-2019,3030809.45,3069976.57
2019-2020,3319480.62,3312312.44
2020-2021,3207497.85,3135450.91
2021-2022,3073144.83,2320066.92
