d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,23302.89,24005.83
11_defence,2020-2021,50219.03,47320.17
11_defence,2021-2022,35646.19,32223.58
11_defence,2022-2023,17823.09,16098.96
3_information_technology,2017-2018,3676498.56,3790143.09
3_information_technology,2018-2019,3663047.14,3733041.98
3_information_technology,2019-2020,3508923.39,3479455.74
3_information_technology,2020-2021,12691611.68,12086291.50
3_information_technology,2021-2022,748476.22,695619.44
3_information_technology,2022-2023,4981747.17,4457716.44
9_human_capital,2020-2021,11087.96,10485.66
9_human_capital,2021-2022,24727.12,23219.77
