d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1489375.07,1529732.42
2018-2019,474063.17,478822.72
2019-2020,785532.11,782913.81
2020-2021,877973.24,861379.26
2021-2022,1661406.27,816907.18
