d_fiscal_year,total,total_constant_2019_dollars
2017-2018,726907.81,749770.87
2018-2019,517000.00,526802.28
2019-2020,468895.66,461969.62
2020-2021,2109801.91,2008810.39
2021-2022,56942.42,53924.19
