d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,1124154.3424643215
1_facilities_and_construction,2018-2019,1407774.3292627123
1_facilities_and_construction,2019-2020,1291046.7055159956
1_facilities_and_construction,2020-2021,1475955.4126507083
2_professional_services,2017-2018,63582.90783551272
2_professional_services,2018-2019,209446.02039342895
2_professional_services,2019-2020,228141.0941085087
2_professional_services,2020-2021,401234.03086734103
6_industrial_products_and_services,2018-2019,4668.7358690176325
6_industrial_products_and_services,2019-2020,55121.20413098237
NA,2019-2020,24973
NA,2020-2021,36131.75
