d_fiscal_year,total,total_constant_2019_dollars
2017-2018,5645965.39,5823795.23
2018-2019,10849499.35,11078720.38
2019-2020,6759990.91,6697152.56
2020-2021,7576593.61,7207256.54
2021-2022,4512709.74,4204035.18
2022-2023,4663941.65,4167986.03
