d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2019-2020,53269.07,52000.16
10_office_management,2017-2018,58869.56,60551.97
10_office_management,2020-2021,17232.38,16343.91
11_defence,2017-2018,34592.59,35545.86
11_defence,2018-2019,157859.76,160462.31
11_defence,2020-2021,132107.96,125482.58
11_defence,2021-2022,75169.03,68348.99
5_transportation_and_logistics,2020-2021,12148.80,11522.43
5_transportation_and_logistics,2021-2022,47238.88,42952.93
6_industrial_products_and_services,2017-2018,1060468.02,1091808.96
6_industrial_products_and_services,2018-2019,1369314.52,1388131.82
6_industrial_products_and_services,2019-2020,1151433.08,1132218.87
6_industrial_products_and_services,2020-2021,1422811.94,1356381.30
6_industrial_products_and_services,2021-2022,851625.67,787015.36
9_human_capital,2020-2021,35600.06,33948.31
