d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,2353801.223665432
1_facilities_and_construction,2018-2019,2298771.53745947
1_facilities_and_construction,2019-2020,2031468.1752241992
1_facilities_and_construction,2020-2021,33177.5
2_professional_services,2017-2018,16445
5_transportation_and_logistics,2018-2019,29468.75
5_transportation_and_logistics,2019-2020,91661.92848214286
5_transportation_and_logistics,2020-2021,63371.88151785714
9_human_capital,2017-2018,80096.64179104478
NA,2019-2020,34155
