d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2019-2020,34155.00,33787.65
1_facilities_and_construction,2017-2018,2353801.22,2425659.42
1_facilities_and_construction,2018-2019,2298771.54,2342612.31
1_facilities_and_construction,2019-2020,2031468.18,2011165.81
1_facilities_and_construction,2020-2021,33177.50,31890.34
1_facilities_and_construction,2021-2022,72765.58,68489.99
10_office_management,2021-2022,3074.67,2795.71
2_professional_services,2017-2018,16445.00,16965.57
5_transportation_and_logistics,2018-2019,29468.75,30148.04
5_transportation_and_logistics,2019-2020,91661.93,89478.47
5_transportation_and_logistics,2020-2021,63371.88,59721.36
9_human_capital,2017-2018,80096.64,82756.73
