d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,15257176.93,15722193.60
it_consulting_services,2018-2019,22623746.14,23021089.65
it_consulting_services,2019-2020,23049436.94,22851342.50
it_consulting_services,2020-2021,23176673.22,22095802.71
it_consulting_services,2021-2022,27720342.38,25916580.31
it_devices_equipment,2020-2021,94778.75,90113.20
it_devices_equipment,2021-2022,20340.00,19033.38
it_software_licensing,2017-2018,575410.20,592980.11
it_software_licensing,2018-2019,550860.94,560930.12
it_software_licensing,2019-2020,556182.14,551667.49
it_software_licensing,2020-2021,297071.48,282855.65
it_software_licensing,2021-2022,127705.25,117570.02
