owner_org,d_fiscal_year,total
aafc-aac,2017-2018,361340.9742120344
aafc-aac,2018-2019,439631.5186246419
aafc-aac,2019-2020,440835.98853868194
aafc-aac,2020-2021,507117.9604005404
aandc-aadnc,2019-2020,249771.69999999998
cbsa-asfc,2017-2018,1575538.1138818548
cbsa-asfc,2018-2019,1600007.71461307
cbsa-asfc,2019-2020,3002971.5871467027
cbsa-asfc,2020-2021,6564766.739342976
cfia-acia,2017-2018,181795.93382820784
cfia-acia,2018-2019,270196.30116648995
cfia-acia,2019-2020,391281.56500530225
cnsc-ccsn,2017-2018,569793.5476242882
cnsc-ccsn,2018-2019,598453.8216837171
cnsc-ccsn,2019-2020,24406.620691994573
cra-arc,2018-2019,412296.13036091626
cra-arc,2019-2020,636434.1875321253
cra-arc,2020-2021,1116498.7151065958
dfatd-maecd,2017-2018,366284.0470475461
dfatd-maecd,2018-2019,858666.7299709079
dfatd-maecd,2019-2020,1189812.9353848367
dfatd-maecd,2020-2021,2509958.005341682
dfo-mpo,2018-2019,98379.9706744868
dfo-mpo,2019-2020,9490.029325513196
dfo-mpo,2020-2021,804438.3126185101
dnd-mdn,2018-2019,86412.86557377048
dnd-mdn,2019-2020,170895.9344262295
ec,2017-2018,148831.43621553882
ec,2018-2019,837682.8737844612
ec,2020-2021,105596.09251642
elections,2018-2019,105964.40999999999
elections,2019-2020,299550.52
elections,2020-2021,39091.5
esdc-edsc,2019-2020,494795.04024814925
esdc-edsc,2020-2021,4897108.320966944
ic,2018-2019,267903.57015692606
ic,2019-2020,916323.4804994175
ic,2020-2021,1001191.2482038853
infc,2019-2020,55058.119999999995
infc,2020-2021,144854.14608542048
irb-cisr,2018-2019,324445.7347180361
irb-cisr,2019-2020,527520.210197471
irb-cisr,2020-2021,526078.8981477511
isc-sac,2019-2020,28189.834895833337
isc-sac,2020-2021,85981.26510416668
jus,2019-2020,190708.80056710774
jus,2020-2021,610602.738657845
lac-bac,2017-2018,218012.4416862745
lac-bac,2018-2019,218012.4416862745
lac-bac,2019-2020,218609.73604705883
lac-bac,2020-2021,54353.786831372556
nrc-cnrc,2017-2018,1794098.9484450014
nrc-cnrc,2018-2019,3321276.4562493335
nrc-cnrc,2019-2020,3772814.8803597544
nrc-cnrc,2020-2021,3040316.4346556487
nrcan-rncan,2017-2018,1781060.6480170141
nrcan-rncan,2018-2019,2286208.630536715
nrcan-rncan,2019-2020,4402243.005755666
nrcan-rncan,2020-2021,3526045.5411270675
ocol-clo,2017-2018,281204.113963964
ocol-clo,2018-2019,385480.7298510061
ocol-clo,2019-2020,275571.62902373954
ocol-clo,2020-2021,40714.25716129032
pch,2017-2018,24532.3
pco-bcp,2019-2020,777156.1968625981
pco-bcp,2020-2021,778938.187404503
phac-aspc,2020-2021,24190.370370370372
ppsc-sppc,2020-2021,424951.7049052179
pwgsc-tpsgc,2019-2020,34152.56
pwgsc-tpsgc,2020-2021,4410311.183013698
ssc-spc,2017-2018,39446709.63721449
ssc-spc,2018-2019,55805853.31049828
ssc-spc,2019-2020,35943563.53555764
ssc-spc,2020-2021,20977660.7785671
statcan,2018-2019,286043.68
statcan,2019-2020,352432.4193548387
statcan,2020-2021,958887.3806451613
tbs-sct,2017-2018,323581.81450746267
tbs-sct,2018-2019,24577.5
tbs-sct,2019-2020,1489080.0260766423
tbs-sct,2020-2021,2204955.2522354014
tc,2017-2018,2736386.1365182875
tc,2018-2019,2248601.325563961
tc,2019-2020,1657436.9995795153
tc,2020-2021,8731960.378781095
