d_most_recent_category,d_fiscal_year,total
11_defence,2019-2020,99960
2_professional_services,2017-2018,2728646.5283844047
2_professional_services,2018-2019,3135468.827985196
2_professional_services,2019-2020,5810640.532862431
2_professional_services,2020-2021,11244448.239650842
3_information_technology,2017-2018,22159884.837587208
3_information_technology,2018-2019,41423721.888433136
3_information_technology,2019-2020,38464988.96374429
3_information_technology,2020-2021,37626141.276561216
6_industrial_products_and_services,2020-2021,218384.49328767124
9_human_capital,2017-2018,189573.99635036496
9_human_capital,2018-2019,1051718.1758117292
9_human_capital,2019-2020,8029520.381721352
9_human_capital,2020-2021,7872090.7546155555
