d_most_recent_category,d_fiscal_year,total
10_office_management,2018-2019,5440.370512820513
10_office_management,2019-2020,19521.32948717949
2_professional_services,2017-2018,1890025.8664290735
2_professional_services,2018-2019,2639437.3646084205
2_professional_services,2019-2020,2042132.9985986657
2_professional_services,2020-2021,3381456.967036079
3_information_technology,2017-2018,27163.965546218486
3_information_technology,2018-2019,9470.634453781513
9_human_capital,2018-2019,24973
