d_most_recent_category,total,percentage
5_transportation_and_logistics,55084609.660000004,0.7285726473284514
2_professional_services,15145767.67349099,0.20032441216897626
10_office_management,2351130.4464864866,0.031097058582863404
1_facilities_and_construction,1596991.76,0.02112249721885245
NA,869187.23,0.011496242690905973
6_industrial_products_and_services,558513.74,0.007387142009950559
