d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,36670.76,37123.81
1_facilities_and_construction,2019-2020,91040.09,89469.44
10_office_management,2017-2018,448859.02,461418.90
10_office_management,2018-2019,550219.05,558649.38
10_office_management,2019-2020,741195.67,732849.43
10_office_management,2020-2021,490373.55,465894.23
10_office_management,2021-2022,1418871.27,1309802.71
5_transportation_and_logistics,2019-2020,59969.32,58540.81
6_industrial_products_and_services,2017-2018,129490.21,133058.58
6_industrial_products_and_services,2018-2019,18828.25,18988.82
6_industrial_products_and_services,2021-2022,27001.60,24551.76
