d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2019-2020,10808.62,10807.08
11_defence,2017-2018,190617.62,196323.05
11_defence,2018-2019,313890.22,319905.35
11_defence,2019-2020,314750.20,312239.44
3_information_technology,2017-2018,2873877.24,2961561.89
3_information_technology,2018-2019,2055061.81,2094443.25
3_information_technology,2020-2021,955194.46,910666.04
3_information_technology,2021-2022,1022715.86,950845.18
3_information_technology,2022-2023,71685.47,63437.73
6_industrial_products_and_services,2017-2018,93112.24,95990.44
6_industrial_products_and_services,2018-2019,93112.24,94896.57
6_industrial_products_and_services,2019-2020,93367.35,92622.56
6_industrial_products_and_services,2020-2021,184995.05,175251.65
6_industrial_products_and_services,2021-2022,815640.23,759874.01
6_industrial_products_and_services,2022-2023,642103.50,574556.90
9_human_capital,2018-2019,466660.53,471019.90
