d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2018-2019,124790.23,126890.12
it_consulting_services,2019-2020,200558.60,198528.36
it_consulting_services,2020-2021,109914.92,105068.32
it_consulting_services,2021-2022,16368.02,15203.60
it_devices_equipment,2017-2018,26262672.94,27012723.35
it_devices_equipment,2018-2019,7387982.39,7500697.31
it_devices_equipment,2019-2020,12567984.35,12452753.86
it_devices_equipment,2020-2021,11049842.90,10538139.44
it_devices_equipment,2021-2022,14610504.86,13677206.43
it_other,2017-2018,2365853.51,2431123.89
it_other,2018-2019,4103.33,4178.33
it_other,2019-2020,123446.48,121698.10
it_other,2020-2021,383108.29,363722.14
it_other,2021-2022,54674.90,51079.33
it_software_licensing,2017-2018,77994.60,80385.08
it_software_licensing,2018-2019,90896.84,92382.15
it_software_licensing,2019-2020,545739.32,541502.33
it_software_licensing,2020-2021,158510.87,150965.60
it_software_licensing,2021-2022,637760.03,593508.70
