owner_org,d_fiscal_year,total
dfo-mpo,2017-2018,2046081.70
dfo-mpo,2018-2019,1003198.17
dfo-mpo,2019-2020,4918775.50
dfo-mpo,2020-2021,1546554.86
pc,2017-2018,435082.38
pc,2018-2019,650611.23
pc,2019-2020,3081934.51
pc,2020-2021,2042256.27
pwgsc-tpsgc,2018-2019,956627.50
pwgsc-tpsgc,2019-2020,97259.81
pwgsc-tpsgc,2020-2021,39905.00
