d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,2323614.076853147
1_facilities_and_construction,2018-2019,1485591.875186722
1_facilities_and_construction,2019-2020,6172774.518288419
1_facilities_and_construction,2020-2021,3553754.7278674515
10_office_management,2018-2019,11246.852248394005
10_office_management,2019-2020,23793.918629550324
10_office_management,2020-2021,23728.907922912207
2_professional_services,2018-2019,397785
5_transportation_and_logistics,2017-2018,157550
5_transportation_and_logistics,2018-2019,715813.1732673267
5_transportation_and_logistics,2019-2020,1901401.3867326733
5_transportation_and_logistics,2020-2021,51232.5
