owner_org,overall_total
pwgsc-tpsgc,16615869195.73
dnd-mdn,11008461184.62
dfo-mpo,2105993732.48
pc,1916364639.49
infc,885888122.54
csa-asc,764087231.91
rcmp-grc,719603394.45
nrc-cnrc,391375743.87
ec,268383566.28
dfatd-maecd,233424070.43
ssc-spc,202838414.06
csc-scc,143823597.53
aafc-aac,103845103.59
phac-aspc,85083891.59
tc,62143392.02
cbsa-asfc,49895022.06
cfia-acia,45482805.33
ic,37461601.85
hc-sc,28755302.66
nrcan-rncan,25123084.82
aandc-aadnc,11377192.96
vac-acc,7788583.06
isc-sac,7494586.78
nbc-ccbn,6263997.29
cer-rec,4115114.06
pch,3646462.91
cgc-ccg,3575354.66
cnsc-ccsn,3371991.02
irb-cisr,2310377.38
pco-bcp,2293527.66
esdc-edsc,2007509.34
elections,1778305.65
statcan,1389988.32
cas-satj,1371444.52
sirc-csars,1120533.28
psic-ispc,1104634.34
osfi-bsif,998139.38
cics-scic,918664.34
ijc-cmi,546653.09
iic-iac,541515.15
cihr-irsc,538145.36
pacifican,448924.12
tbs-sct,429785.39
cra-arc,401313.80
polar-polaire,383894.74
ced-dec,379389.84
nfb-onf,362618.45
jus,347869.35
fin,341101.60
cic,317662.57
fintrac-canafe,301438.60
ps-sp,270940.85
cpc-cpp,188697.60
lac-bac,178107.55
fcac-acfc,172310.32
feddevontario,166715.22
csps-efpc,162033.67
oag-bvg,141808.67
pbc-clcc,110142.19
acoa-apeca,98738.47
ocol-clo,87752.67
nsira-ossnr,84456.80
wage,77926.88
ppsc-sppc,66002.30
cannor,65680.62
wd-deo,63960.96
fpcc-cpac,52618.45
swc-cfc,40680.00
opc-cpvp,37034.27
atssc-scdata,31096.47
psc-cfp,24860.00
crtc,23713.59
tsb-bst,22765.05
prairiescan,21443.70
oic-ci,17233.72
iaac-aeic,16549.75
fja-cmf,12920.70
ocl-cal,12576.47
