owner_org,overall_total
pwgsc-tpsgc,11016582288.84
dnd-mdn, 6597598907.41
pc, 1556042449.57
dfo-mpo, 1487037433.33
infc,  593917680.58
rcmp-grc,  482352887.62
csa-asc,  299589893.84
nrc-cnrc,  263905424.87
ec,  180491849.38
ssc-spc,  143016820.54
dfatd-maecd,  136791154.01
csc-scc,  100999301.55
aafc-aac,   73344684.57
phac-aspc,   73296678.23
cbsa-asfc,   52760729.26
tc,   36732596.91
cfia-acia,   30616265.31
ic,   25834844.20
hc-sc,   19175463.56
nrcan-rncan,   15974980.97
aandc-aadnc,    6089611.41
nbc-ccbn,    4359090.03
isc-sac,    4067443.71
vac-acc,    3919234.35
statcan,    3156546.51
cer-rec,    2989001.55
cnsc-ccsn,    2395903.40
pch,    2152729.21
cgc-ccg,    2126725.51
elections,    1765751.26
irb-cisr,    1496346.00
esdc-edsc,    1332599.35
sirc-csars,    1129491.22
psic-ispc,    1104634.34
pco-bcp,     790302.98
cas-satj,     717461.38
osfi-bsif,     658169.59
cihr-irsc,     579765.06
ijc-cmi,     494222.60
tbs-sct,     404301.86
ced-dec,     379389.84
fintrac-canafe,     329688.60
jus,     315079.74
cics-scic,     298365.19
cra-arc,     230496.63
ps-sp,     203421.07
cic,     189285.34
cpc-cpp,     188697.60
oag-bvg,     141808.67
csps-efpc,     137537.12
fcac-acfc,     132310.58
lac-bac,     125763.69
fin,      89903.06
nsira-ossnr,      84456.80
feddevontario,      71282.42
wd-deo,      63960.96
pbc-clcc,      56349.51
fpcc-cpac,      52618.45
swc-cfc,      40680.00
polar-polaire,      36267.00
cannor,      33257.36
psc-cfp,      24860.00
crtc,      23713.59
tsb-bst,      22765.05
wage,      20520.91
ocol-clo,      19598.78
oic-ci,      17233.72
acoa-apeca,      13537.11
fja-cmf,      12920.70
ocl-cal,       6098.06
iaac-aeic,       4969.28
nfb-onf,            NA
ppsc-sppc,            NA
