owner_org,overall_total
pwgsc-tpsgc,13551157230.54
dnd-mdn,8062740066.40
pc,1766780420.80
dfo-mpo,1674862932.56
infc,741304216.41
rcmp-grc,604454370.12
csa-asc,398889678.47
nrc-cnrc,321786742.11
ec,231682995.76
dfatd-maecd,178763955.07
ssc-spc,168940913.24
csc-scc,118750691.02
aafc-aac,90004179.26
phac-aspc,78341084.99
tc,49482848.32
cbsa-asfc,45353946.54
cfia-acia,34559917.72
ic,31290935.88
hc-sc,23360918.02
nrcan-rncan,20426962.44
aandc-aadnc,7048905.81
statcan,7044646.03
nbc-ccbn,5500697.20
isc-sac,5443760.64
vac-acc,4825045.19
cer-rec,3414073.10
cnsc-ccsn,2875440.53
cgc-ccg,2789461.46
pch,2545108.57
irb-cisr,1939509.19
elections,1744902.08
esdc-edsc,1659930.84
sirc-csars,1120533.28
psic-ispc,1104634.34
cas-satj,1051711.67
osfi-bsif,857713.54
pco-bcp,805694.57
cihr-irsc,533128.16
ijc-cmi,494222.60
tbs-sct,382244.60
ced-dec,379389.84
cics-scic,353625.57
jus,330662.35
iic-iac,314050.00
nfb-onf,308860.92
fintrac-canafe,301438.60
cra-arc,289519.97
ps-sp,270940.85
cic,251991.78
cpc-cpp,188697.60
oag-bvg,141808.67
csps-efpc,137537.12
lac-bac,137405.39
polar-polaire,134122.84
fcac-acfc,132698.92
fin,120914.47
feddevontario,109371.83
nsira-ossnr,84456.80
cannor,65680.62
wd-deo,63960.96
ppsc-sppc,62256.87
pbc-clcc,56349.51
fpcc-cpac,52618.45
swc-cfc,40680.00
acoa-apeca,35556.74
psc-cfp,24860.00
wage,24139.93
crtc,23713.59
tsb-bst,22765.05
ocol-clo,19598.78
oic-ci,17233.72
fja-cmf,12920.70
ocl-cal,11955.40
iaac-aeic,10935.68
opc-cpvp,10599.21
atssc-scdata,10528.21
