d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,573661.258439781
1_facilities_and_construction,2018-2019,311191.586770073
1_facilities_and_construction,2019-2020,101828.1794275492
1_facilities_and_construction,2020-2021,181303.83166368515
2_professional_services,2017-2018,2426344.1259717075
2_professional_services,2018-2019,489686.5865826944
2_professional_services,2019-2020,5403677.488468222
2_professional_services,2020-2021,6060852.775814853
3_information_technology,2017-2018,15794484.158245381
3_information_technology,2018-2019,11344995.716096187
3_information_technology,2019-2020,12671506.71729714
3_information_technology,2020-2021,9086943.887360683
9_human_capital,2019-2020,85607.92008196721
9_human_capital,2020-2021,99196.4788251366
