d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2947264.98,3019411.07
2018-2019,4631477.01,4682661.46
2019-2020,3390765.01,3340211.28
2020-2021,691321.71,657437.67
2021-2022,1845013.29,906877.04
