d_vendor_name,overall_total
GOVERNMENT OF NUNAVUT,665000
FELIX TECHNOLOGY,557903.6
BRONSON CONSULTING GROUP,207890.24324324325
RAYMOND CHABOT GRANT THORNTON CONSULTING,166787.99999999997
LUMINA IT,84746.61
PROTOTYPE INTEGRATED SOLUTIONS,72030.43999999999
HADLARI CONSULTING,51864.75
GLOBAL ADVANTAGE CONSULTING GROUP,39550
STRATOS,39380.5
QMR,39324
WIND ENERGY INSTITUTE OF CANADA,36267
SAMSON ASSOCIES,29916.060000000005
UNIVERSITY OF WATERLOO,27952.25
STUDENTS ON ICE,24989.999999999996
UNIVERSITY OF GUELPH,24921
DR EDDY CARMACK,24500
KALGANS DIS AND DAT,23590
SURVEYMONKEY,23372.02
WESTERN UNIVERSITY,22080
ATS CONTAINERS,20170.5
LOTEK WIRELESS,19875
LEICA MICROSYTEMS CANADA,19474.609999999997
ATS CONTAINERS SERVICES,18952.5
DEEPTREKKER,15710.54
MAXSYS STAFFING CONSULTING,14746.499999999998
JAMF,13467.25
SOFAR OCEAN TECHNOLOGIES,13234.03
FUSE CONSULTING,10957.577445652174
ATIIGO MEDIA,10560
ASSET PANDA,5810.534171270719
SURVEYMONKEY EUROPE UC,4089.361643835616
THE UNIVERSITY OF CALGARY RESEARCH SERVICES,909.3833935018051
