d_fiscal_year,total,total_constant_2019_dollars
2017-2018,10967011.78,11244495.26
2018-2019,12626253.83,12789857.38
2019-2020,834811.67,833249.09
2020-2021,212828.67,207038.65
2021-2022,152782.06,105628.12
