d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,136230.42786259542
1_facilities_and_construction,2018-2019,418413.95250860817
1_facilities_and_construction,2019-2020,652994.6480951074
1_facilities_and_construction,2020-2021,2727082.457533715
2_professional_services,2017-2018,2207543.1023779544
2_professional_services,2018-2019,3177075.9214294115
2_professional_services,2019-2020,3174914.3065292183
2_professional_services,2020-2021,3250417.9774689116
