d_fiscal_year,total,total_constant_2019_dollars
2017-2018,983475.54,1013795.54
2018-2019,869383.83,885017.17
2019-2020,923468.07,913965.67
2020-2021,700673.16,667249.02
2021-2022,735925.16,683004.47
2022-2023,627171.93,560967.01
