d_fiscal_year,total,total_constant_2019_dollars
2017-2018,15915861.81,16403821.87
2018-2019,8340766.92,8493678.55
2019-2020,56163882.02,55869791.89
2020-2021,33996629.69,32426880.12
2021-2022,47827977.68,44635899.45
