owner_org,d_fiscal_year,total,total_constant_2019_dollars
dnd-mdn,2021-2022,96702.62,90119.90
pwgsc-tpsgc,2017-2018,8313939.20,8568755.10
pwgsc-tpsgc,2018-2019,8313939.20,8465909.51
pwgsc-tpsgc,2019-2020,8336717.11,8269814.12
pwgsc-tpsgc,2020-2021,8330152.63,7941674.83
pwgsc-tpsgc,2021-2022,11272889.58,10548730.89
