d_fiscal_year,total,total_constant_2019_dollars
2017-2018,13307820.51,13714705.49
2018-2019,15525371.16,15796864.16
2019-2020,28279849.56,28065897.93
2020-2021,43752227.33,41691228.71
2021-2022,47568355.47,44396597.83
