d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,181940.25,186666.19
1_facilities_and_construction,2018-2019,6160558.15,6228360.51
1_facilities_and_construction,2019-2020,799698.64,798193.21
1_facilities_and_construction,2020-2021,4593479.59,4503860.10
1_facilities_and_construction,2021-2022,3694708.16,2807758.83
9_human_capital,2017-2018,219162.17,225036.93
9_human_capital,2018-2019,219162.17,221959.02
9_human_capital,2019-2020,219762.62,219312.49
9_human_capital,2020-2021,219162.17,214557.08
9_human_capital,2021-2022,219162.17,166484.45
