owner_org,overall_total
ssc-spc,78799574.16
dnd-mdn,69575232.22
pwgsc-tpsgc,33074275.63
csc-scc,28678974.46
rcmp-grc,18580896.44
esdc-edsc,17378843.09
dfatd-maecd,15331626.74
dfo-mpo,14550039.47
hc-sc,13289364.83
ec,12303902.26
nrcan-rncan,11922823.96
tc,8864612.67
ic,8275822.76
tbs-sct,6389756.1
aafc-aac,4864988.33
cic,4411939.83
elections,3798672.18
phac-aspc,3764170.59
cbsa-asfc,3105848.17
statcan,2988292.09
osfi-bsif,2824054.09
fja-cmf,2605424.95
cnsc-ccsn,2420980.97
cfia-acia,2301630.72
jus,2219291.38
aandc-aadnc,2196138.18
isc-sac,2142013.65
cra-arc,2000715.65
fin,1882058.57
vac-acc,1878176.72
infc,1704958.84
nrc-cnrc,1668669.94
crtc,1630449.48
pc,1616430.87
cihr-irsc,1170615.07
cer-rec,1156001.3
pch,951482.9
pco-bcp,920776.9
cas-satj,844492
nserc-crsng,835849.35
fintrac-canafe,743721.54
wd-deo,637493.73
csps-efpc,581482.23
ppsc-sppc,559529.12
feddevontario,536877.98
cgc-ccg,527496.06
acoa-apeca,522231.94
ps-sp,517992.74
irb-cisr,484192.94
psc-cfp,477384.06
csa-asc,473963.3
cpc-cpp,447998.76
lac-bac,444569.8
opc-cpvp,413782.48
tsb-bst,285997.39
psic-ispc,268549.72
pbc-clcc,265701.03
cta-otc,242921
atssc-scdata,239244.47
nsira-ossnr,210856.47
fcac-acfc,209314.78
sirc-csars,199000
ced-dec,189952.54
chrc-ccdp,155926.5
oag-bvg,153275.98
nfb-onf,145014.44
wage,137567.68
vrab-tacra,134046.82
swc-cfc,126685.4
sshrc-crsh,118243.16
osgg-bsgg,109486.72
ocol-clo,100507.77
oic-ci,79279.27
ijc-cmi,73320
cannor,69951.9
iaac-aeic,59072.78
pmprb-cepmb,51643.57
mpcc-cppm,28643.84
oci-bec,28250
polar-polaire,24921
cics-scic,21424.8
ccohs-cchst,18503.75
casdo-ocena,10920.07
ocl-cal,10170
mgerc-ceegm,6972.56
