owner_org,d_fiscal_year,total
aafc-aac,2017-2018,5954651.54
aafc-aac,2018-2019,7557063.73
aafc-aac,2019-2020,7280654.05
aafc-aac,2020-2021,8519783.41
aandc-aadnc,2017-2018,1356332.03
aandc-aadnc,2018-2019,1039432.5
aandc-aadnc,2019-2020,1464642.94
aandc-aadnc,2020-2021,1266629.76
acoa-apeca,2017-2018,145404.08
acoa-apeca,2018-2019,220679.3
acoa-apeca,2019-2020,303675.21
acoa-apeca,2020-2021,461282.24
atssc-scdata,2017-2018,552642.41
atssc-scdata,2018-2019,364525.04
atssc-scdata,2019-2020,650004.8
atssc-scdata,2020-2021,232590.24
cannor,2017-2018,11211.25
cannor,2018-2019,15120
cannor,2019-2020,165413.4
cannor,2020-2021,78295.61
cas-satj,2017-2018,501442.06
cas-satj,2018-2019,297463.05
cas-satj,2019-2020,404947.45
cas-satj,2020-2021,362884.53
casdo-ocena,2020-2021,10920.07
cbsa-asfc,2017-2018,878344.92
cbsa-asfc,2018-2019,1796204.55
cbsa-asfc,2019-2020,2098566.39
cbsa-asfc,2020-2021,2345612.97
ccohs-cchst,2019-2020,18503.75
ced-dec,2017-2018,92293.77
ced-dec,2018-2019,105549.65
ced-dec,2019-2020,178706.32
ced-dec,2020-2021,230327.3
cer-rec,2017-2018,2134657.66
cer-rec,2018-2019,2585556.16
cer-rec,2019-2020,1358270
cer-rec,2020-2021,1221067.37
cfia-acia,2017-2018,1545724.73
cfia-acia,2018-2019,1125653.78
cfia-acia,2019-2020,1275413.97
cfia-acia,2020-2021,770080.4
cgc-ccg,2017-2018,259975.67
cgc-ccg,2018-2019,170927.9
cgc-ccg,2019-2020,224953.91
cgc-ccg,2020-2021,187850.66
chrc-ccdp,2018-2019,69977.46
chrc-ccdp,2019-2020,84986.56
chrc-ccdp,2020-2021,172290.65
cic,2017-2018,884906.02
cic,2018-2019,1494530.78
cic,2019-2020,1773910.01
cic,2020-2021,2045843.34
cics-scic,2018-2019,21424.8
cihr-irsc,2017-2018,219111.41
cihr-irsc,2018-2019,340631.84
cihr-irsc,2019-2020,333694.11
cihr-irsc,2020-2021,357560.06
cnsc-ccsn,2017-2018,1321677.52
cnsc-ccsn,2018-2019,1576531.53
cnsc-ccsn,2019-2020,2361585.75
cnsc-ccsn,2020-2021,2244205.3
cpc-cpp,2017-2018,128216.58
cpc-cpp,2018-2019,87960.56
cpc-cpp,2019-2020,201373.15
cpc-cpp,2020-2021,366557.39
