owner_org,overall_total
dnd-mdn,289721549.60
dfatd-maecd,92828663.79
cra-arc,53284315.67
esdc-edsc,52947689.97
ssc-spc,51411751.18
nrcan-rncan,46663734.34
pwgsc-tpsgc,46608056.37
csc-scc,39980003.17
rcmp-grc,38798574.79
ec,31264585.99
dfo-mpo,30188294.51
hc-sc,25236599.62
tc,23787118.06
statcan,18769679.49
ic,17303707.01
osfi-bsif,13908421.45
aafc-aac,11239237.19
phac-aspc,10014139.73
nrc-cnrc,9793318.67
cic,9440944.34
tbs-sct,8877363.48
cbsa-asfc,8841207.62
cnsc-ccsn,8768945.99
isc-sac,8548075.61
cer-rec,8475122.90
fin,7359091.53
crtc,7180628.70
oag-bvg,6893751.55
cfia-acia,6277756.93
pc,6086256.10
csps-efpc,5896598.46
aandc-aadnc,5789998.85
pco-bcp,5703927.34
jus,5226653.61
elections,5199260.24
fja-cmf,4792166.78
pch,4051008.31
vac-acc,3600046.56
infc,3171118.37
pmprb-cepmb,3084463.18
csa-asc,2756777.80
irb-cisr,2611978.53
fcac-acfc,2593113.82
cas-satj,2406544.65
ps-sp,2333381.25
atssc-scdata,2208707.57
nserc-crsng,1900591.11
acoa-apeca,1523378.21
ppsc-sppc,1355823.19
psc-cfp,1220127.92
cgc-ccg,1169597.63
lac-bac,1028042.09
cpc-cpp,1017072.27
wd-deo,926536.35
cta-otc,917302.82
feddevontario,913478.81
iaac-aeic,840556.03
opc-cpvp,798587.76
prairiescan,748520.98
pbc-clcc,705635.40
psic-ispc,704733.04
wage,699786.24
fintrac-canafe,693251.27
nsira-ossnr,662950.29
chrc-ccdp,580045.08
cihr-irsc,565352.58
tsb-bst,466189.91
cannor,421618.82
casdo-ocena,384603.96
ced-dec,372721.91
nfb-onf,363244.74
sirc-csars,301000.00
oic-ci,292989.61
ocol-clo,286391.25
sshrc-crsh,281094.04
osgg-bsgg,277705.77
vrab-tacra,189853.23
ijc-cmi,147356.40
iic-iac,139643.51
swc-cfc,137527.75
polar-polaire,116989.70
mpcc-cppm,108338.96
ccohs-cchst,79471.17
erc-cee,64907.60
pacifican,48440.05
mgerc-ceegm,38712.07
ocl-cal,30899.85
oci-bec,28250.00
cics-scic,21424.80
