owner_org,overall_total
dnd-mdn,154196793.66
ssc-spc,115281201.13
dfatd-maecd,69972845.64
pwgsc-tpsgc,43455452.41
esdc-edsc,34263319.01
cra-arc,32951017.37
nrcan-rncan,32946753.12
ic,32835151.47
csc-scc,30953897.49
aafc-aac,28827195.13
rcmp-grc,25234070.47
hc-sc,22911647.86
tc,19788937.91
ec,18945513.00
dfo-mpo,17988141.67
cbsa-asfc,14808160.32
osfi-bsif,11232930.35
statcan,11173030.90
phac-aspc,9767799.81
nrc-cnrc,7521558.65
cnsc-ccsn,7504000.10
cer-rec,7299551.20
tbs-sct,6811816.99
cic,6199360.37
pmprb-cepmb,5720378.92
fin,5645425.18
elections,5543126.92
aandc-aadnc,5127037.23
csps-efpc,5125949.08
crtc,4971313.80
cfia-acia,4716872.87
pco-bcp,4374391.13
oag-bvg,4164067.81
ps-sp,3993206.83
isc-sac,3935098.89
jus,3539068.92
pc,3379925.85
pch,3003588.17
fja-cmf,2695350.35
csa-asc,2275787.21
vac-acc,1955881.72
infc,1941476.47
nserc-crsng,1851037.86
atssc-scdata,1799762.49
cas-satj,1566737.09
fcac-acfc,1490521.41
lac-bac,1308645.61
feddevontario,1256152.05
cihr-irsc,1250997.43
acoa-apeca,1131040.83
fintrac-canafe,865840.09
cgc-ccg,863313.33
wd-deo,857213.64
irb-cisr,789216.94
cta-otc,788372.18
cpc-cpp,784107.68
psc-cfp,776178.30
ppsc-sppc,681206.87
ced-dec,606877.04
opc-cpvp,516119.42
pbc-clcc,380899.03
nsira-ossnr,376528.02
iaac-aeic,370507.52
wage,337750.33
chrc-ccdp,327254.66
tsb-bst,297410.39
oic-ci,290550.15
psic-ispc,268549.72
cannor,258371.69
ocol-clo,245810.16
nfb-onf,229453.57
sirc-csars,199000.00
sshrc-crsh,142243.16
swc-cfc,137527.75
vrab-tacra,134046.82
osgg-bsgg,125306.72
ijc-cmi,73320.00
mpcc-cppm,49753.80
mgerc-ceegm,43428.30
oci-bec,28250.00
polar-polaire,24921.00
cics-scic,21424.80
erc-cee,21114.00
ccohs-cchst,18503.75
casdo-ocena,10920.07
ocl-cal,10170.00
