owner_org,overall_total
dnd-mdn,239746079.29
dfatd-maecd,75012950.76
pwgsc-tpsgc,43018334.35
cra-arc,40153743.28
ssc-spc,38284204.66
esdc-edsc,36972806.29
csc-scc,35281233.76
nrcan-rncan,33371745.14
rcmp-grc,29625711.57
ec,23341264.91
dfo-mpo,22865585.81
hc-sc,20641694.78
tc,19324002.81
statcan,15001426.68
ic,12727635.30
osfi-bsif,11253341.90
aafc-aac,10224313.79
phac-aspc,10186627.61
nrc-cnrc,8302781.11
cbsa-asfc,7986140.35
tbs-sct,7834091.63
cic,7510903.33
cnsc-ccsn,7077747.02
cer-rec,7061901.57
crtc,6498277.32
isc-sac,6102526.55
fin,5850908.01
oag-bvg,5555772.84
cfia-acia,5053428.84
csps-efpc,4917856.35
aandc-aadnc,4806453.13
pco-bcp,4763355.07
elections,4669612.60
pc,4621543.58
jus,4317831.74
fja-cmf,3701550.04
pch,3074671.77
vac-acc,2553397.27
csa-asc,2524066.74
infc,2288679.73
pmprb-cepmb,2119550.73
ps-sp,1974906.21
fcac-acfc,1783260.52
atssc-scdata,1762309.83
nserc-crsng,1679381.98
cas-satj,1673151.67
acoa-apeca,1332209.45
irb-cisr,1315528.55
cgc-ccg,1019487.90
psc-cfp,947485.87
lac-bac,910871.73
cpc-cpp,901395.85
wd-deo,892875.04
ppsc-sppc,848306.34
cta-otc,713275.80
fintrac-canafe,693251.27
opc-cpvp,675621.40
feddevontario,631501.32
iaac-aeic,551223.97
pbc-clcc,535708.80
psic-ispc,499353.88
chrc-ccdp,443080.95
wage,428498.26
nsira-ossnr,395412.83
cihr-irsc,377117.71
tsb-bst,346040.56
cannor,337546.01
ced-dec,329104.58
sirc-csars,301000.00
osgg-bsgg,286809.05
ocol-clo,286391.25
oic-ci,261810.07
nfb-onf,259337.95
sshrc-crsh,186096.16
vrab-tacra,142931.25
swc-cfc,137527.75
casdo-ocena,112501.11
ijc-cmi,94575.30
mpcc-cppm,67971.55
polar-polaire,64499.25
iic-iac,33031.80
ocl-cal,30899.85
ccohs-cchst,29184.51
oci-bec,28250.00
mgerc-ceegm,28212.07
erc-cee,25612.76
cics-scic,21424.80
