d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,1125400.67,1160059.49
it_consulting_services,2018-2019,895170.13,911922.57
it_consulting_services,2019-2020,947625.73,939194.16
it_consulting_services,2020-2021,578486.39,551433.68
it_consulting_services,2021-2022,578409.89,537758.17
it_software_licensing,2017-2018,1276068.07,1315075.00
it_software_licensing,2018-2019,767689.82,783070.27
it_software_licensing,2019-2020,657968.00,651932.89
it_software_licensing,2020-2021,712998.04,679524.95
it_software_licensing,2021-2022,255792.43,239977.76
