category,total,percentage
3_information_technology,679538.4071994536,0.349914059940743
2_professional_services,616666.1226086956,0.31753929476805914
10_office_management,463010.25475446426,0.23841742618056183
5_transportation_and_logistics,102035.75,0.0525411708349829
7_travel,44851.86,0.023095525230389706
9_human_capital,21424.8,0.0110322517049695
8_security_and_protection,14487.96,0.0074602713402939546
