d_vendor_name,overall_total
PMG TECHNOLOGIES,161589234.76
HOLMAN FENWICK WILLAN,144098850.00
ELBIT SYSTEMS,31999994.00
VECTOR AEROSPACE,29059769.64
CANADIAN CORPS OF COMMISSIONAIRES,21889602.73
CHANTIER DAVIE CANADA,16401065.75
NORTHERN MICRO,15661881.27
MICROSOFT CANADA,15406011.94
BELL TEXTRON,13859790.09
FUJITSU,12766863.57
APS AVIATION,12542869.60
MINDWIRE SYSTEMS,12379904.37
AERO SUPPLIES,11714802.82
ORACLE CANADA,11455100.16
NISHA TECHONOLOGIES,9705099.40
JASCO APPLIED SCIENCES CANADA,9212036.54
ADRM TECHNOLOGY CONSULTING,8709748.65
BOMBARDIER,8574083.20
SI SYSTEMS,8427583.16
AVMAX AVIATION SERVICES,8246441.87
QUORUM,7764752.34
COFOMO,7434075.12
ALTIS HUMAN RESOURCES,7320915.57
CPCS TRANSCOM,7283286.39
XEROX,7085422.80
MID CANADA MOD CENTER,6959116.34
HELITRADES,6936841.14
LENGKEEK VESSEL ENGINEERING,6856107.48
AEROPRO,6743585.22
DELOITTE,6384701.52
VANCOUVER FRASER PORT AUTHORITY,6155560.00
TEKSYSTEMS CANADA,6047430.78
VOYAGEUR AVIATION,6020210.49
MARINE RECYCLING,5930396.00
ALPINE AEROTECH,5879256.72
HYPERTEC,5805488.99
ST AIRBORNE SYSTEMS,5486214.73
CANADIAN MARITIME ENGINEERING,5204789.62
ERNST YOUNG,5170491.45
WARTSILA,4922077.21
GARTNER,4510846.29
EQUASION BUSINESS TECHNOLOGIES CONSULTING AND WATERSHED ITS IN CJV,4476215.17
175303 CANADA,4397583.50
ADGA GROUP,4372718.99
ADVANCED BUSINESS INTERIORS,4320169.23
STANDARD AERO,3984845.11
DILLON CONSULTING,3974608.34
MITSUBISHI MOTOR SALES,3595037.34
KPMG,3524753.90
"NATTIQ",3429599.30
AVI SPL,3367527.87
GENERAL MOTORS,3359622.42
TEKNION,3288405.18
