d_fiscal_year,total,total_constant_2019_dollars
2017-2018,3973318.47,4075144.40
2018-2019,6481303.36,6572869.92
2019-2020,10298866.53,10215133.28
2020-2021,18940397.61,18005497.11
2021-2022,30993323.29,28754580.79
