d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,1540307.83,1587920.41
it_consulting_services,2018-2019,668141.85,683401.14
it_consulting_services,2019-2020,98876.37,97782.16
it_consulting_services,2020-2021,448376.21,428098.75
it_devices_equipment,2018-2019,6756.75,6844.89
it_devices_equipment,2019-2020,19687.50,19651.25
it_software_licensing,2017-2018,293669.13,302729.44
it_software_licensing,2018-2019,358379.07,365175.61
it_software_licensing,2019-2020,405989.56,402623.39
it_software_licensing,2020-2021,349401.10,332993.39
it_software_licensing,2021-2022,77244.77,71714.13
it_software_licensing,2022-2023,11433.69,10149.99
