d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2020-2021,82851.11594991834
10_office_management,2017-2018,658316.6332665331
10_office_management,2018-2019,658316.6332665331
10_office_management,2019-2020,660120.240480962
11_defence,2017-2018,608659.8523455508
11_defence,2018-2019,87032
11_defence,2019-2020,46913.75
3_information_technology,2017-2018,1833976.9612757643
3_information_technology,2018-2019,1033277.6708215759
3_information_technology,2019-2020,524553.4393660967
3_information_technology,2020-2021,797777.3104769611
