d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2019-2020,1976.14,1938.48
0_other,2020-2021,4745.35,4511.26
0_other,2021-2022,4745.35,4405.79
10_office_management,2017-2018,1211902.97,1243332.14
10_office_management,2018-2019,1278100.37,1297396.32
10_office_management,2019-2020,1342224.91,1331603.13
10_office_management,2020-2021,1195401.16,1136289.36
10_office_management,2021-2022,949142.38,882161.98
11_defence,2017-2018,220705.90,226145.67
11_defence,2018-2019,5859.55,5961.04
3_information_technology,2017-2018,662284.82,679498.74
3_information_technology,2018-2019,1225579.30,1244240.49
3_information_technology,2019-2020,2877888.75,2846006.67
3_information_technology,2020-2021,1410581.92,1341178.52
3_information_technology,2021-2022,1151611.71,1069947.89
4_medical,2017-2018,716.82,733.72
4_medical,2018-2019,8440.01,8571.27
4_medical,2019-2020,8463.13,8391.71
4_medical,2020-2021,8440.01,8023.67
4_medical,2021-2022,8440.01,7836.09
6_industrial_products_and_services,2017-2018,18454.75,18922.29
6_industrial_products_and_services,2018-2019,12345.86,12537.85
6_industrial_products_and_services,2019-2020,12379.68,12275.21
6_industrial_products_and_services,2020-2021,12345.86,11736.84
6_industrial_products_and_services,2021-2022,7299.34,6845.84
