d_vendor_name,overall_total
CANADIAN CORPS OF COMMISSIONAIRES,16151658.32
"NAUT MAWT TRIBAL COUNCIL",10769981.50
MINDWIRE SYSTEMS,10564223.06
NORTHERN MICRO,8005698.10
ADRM TECHNOLOGY CONSULTING,6722799.25
MICROSOFT CANADA,5485955.15
MCCARTHY TETRAULT,5320766.60
CISION CANADA,4889276.72
SYNERSOLUTIONS TECHNOLOGIES,4281095.40
CBC,4152473.15
COFOMO,3701792.13
T E S THE EMPLOYMENT SOLUTION,2923634.49
DELOITTE,2426927.70
SI SYSTEMS,2367192.83
IBISKA TELECOM,2332584.97
ELEMENTAL DATA COLLECTION,2104556.69
PRICEWATERHOUSE COOPERS,2073807.66
NISHA TECHONOLOGIES,1891765.19
TEKSYSTEMS CANADA,1808247.50
I4C INFORMATION TECHNOLOGY,1785750.18
EXCEL HUMAN RESOURCES,1645791.79
IPSOS,1571450.45
TEKNION,1545073.32
NEWFOUND RECRUITING,1324420.80
L3HARRIS,1312278.98
APPLIED ELECTONICS,1268266.22
MODIS CANADA,1128300.70
MIREMS,1054381.56
XEROX,996137.98
SIMPLEX GRINNELL,842478.83
MEDIA Q,805496.51
CGI,803426.37
PRINTERS PLUS,791897.78
QUINTET CONSULTING,737054.94
ROGERS,689213.75
ADVANCED CHIPPEWA TECHNOLOGIES,672947.16
FACTIVA,662388.71
SOFTCHOICE,610151.77
KONICA MINOLTA BUSINESS SOLUTIONS,597276.00
BELL CANADA,562228.51
RICOH,545665.30
EBSCO CANADA,537422.29
NUIX NORTH AMERICA,526451.07
LEGER MARKETING,493390.21
CDW CANADA,491795.56
ENVIRONICS RESEARCH GROUP,461040.00
FORD MOTOR COMPANY,444064.02
ARI FINANCIAL SERVICES,426674.02
DELL COMPUTER,408853.76
TOTEM OFFISOURCE,403175.95
EKOS RESEARCH ASSOCIATES,379210.37
IRON MOUNTAIN,373529.96
GENERAL DYNAMICS,371862.38
COMNET NETWORKS AND SECURITY,371601.26
SOFTSIM TECHNOLOGIES,364539.79
LINOVATI,361959.03
WPP GROUP CANADA COMMUNICATIONS,335790.80
DYNAMIC PERSONNEL CONSULTANTS,331437.99
THE VCAN GROUP,326461.43
ALTIS HUMAN RESOURCES,320103.13
ADVANCED BUSINESS INTERIORS,316046.17
LUMINA IT,314384.63
ITEX,313575.00
NOVA NETWORKS,293010.26
IBM CANADA,281846.51
EVALUATION PERSONNEL SELECTION,279194.75
IHS GLOBAL,247601.65
MARKIDO,247289.08
ECLIPSYS SOLUTIONS,223062.06
UNIVERSITY OF TORONTO,206035.73
CBCI TELECOM,202471.28
ADGA GROUP,194236.32
FEDERAL EXPRESS CANADA,191365.85
COMPUGEN,188877.20
TOSHIBA CANADA,187969.06
INTERACTIVE AUDIO VISUAL,181853.70
MELTWATER,172183.76
WORKDYNAMICS TECHNOLOGIES,166876.39
HYPERTEC,162841.48
INSTITUTE ON GOVERNANCE,160161.75
"NATIONAL ARTS CENTRE",154608.92
MNP,149560.00
FAST FORWARD FRENCH,147982.43
TELUS CANADA,135468.53
CONFERENCE BOARD OF CANADA,135287.72
OPENFRAME TECHNOLOGIES,134189.52
LIONBRIDGE,133790.00
CARAHSOFT TECHNOLOGY,133033.70
RANDSTAD,113000.00
FMC PROFESSIONALS,111014.03
TAG HR,103274.38
EBERHARD VON HUENE ASSOCIATES,102676.94
A NET SOLUTIONS,100782.43
ECOLE DE LANGUES ABCE,96790.75
SAMSON ASSOCIES,93832.38
TRM TECHNOLOGIES,91982.00
QMR,89272.26
RHEA,84693.50
GARTNER,79927.53
BDO CANADA,73981.37
OPEN STORAGE SOLUTIONS,72272.45
SUPREMEX,71009.23
RAYMOND CHABOT GRANT THORNTON,69777.50
HORIZANT,67978.09
CORADIX TECHNOLOGY CONSULTING,65447.34
AVI SPL,64832.51
DYNABOOK CANADA,62586.20
CONTRACT COMMUNITY,62263.00
TORONTO METROPOLITAN UNIVERSITY,62200.00
KORN FERRY CA,61288.44
PURESPIRIT SOLUTIONS,56596.03
TOYOTA,55243.41
ARTEMP PERSONNEL SERVICES,49569.15
THE RIGHT DOOR CONSULTING,47714.25
GLOBAL KNOWLEDGE,47460.00
VIDCRUITER,44179.19
CIVIX,40000.00
CONVERSART CONSULTING,39663.00
SHI CANADA,38977.25
BEVA GLOBAL MANAGEMENT,38747.70
AON REED STENHOUSE,36547.92
GLOBE AND MAIL,34850.26
TURTLE ISLAND STAFFING,33418.60
FAST TRACK STAFFING,32792.65
THINKPOINT,32272.80
ORACLE CANADA,30493.74
INTEGRA NETWORKS,30464.80
FCA CANADA,30025.69
GLOBAL UPHOLSTERY,29097.79
ECOLE DE LANGUES LA CITE,29021.30
UNIVERSITY OF OTTAWA,27980.54
MISHKUMI TECHNOLOGIES,27063.74
QUADBRIDGE,24747.00
SYSTEMSCOPE,24464.50
BRECKENHILL,24365.63
LANSDOWNE TECHNOLOGIES,24323.25
INFO TECH RESEARCH GROUP,23962.19
THE KTL GROUP,23805.12
LEAN AGILITY,23391.00
NIMBLE INFORMATION STRATEGIES,22769.50
THE MASHA KRUPP TRANSLATION GROUP,22679.10
ZYCOM,22672.32
GOVERNMENT OF SASKATCHEWAN,21853.50
MULTISHRED,21388.64
MORNEAU SHEPELL,21146.16
LAURENTIAN TECHNOLOGIES,21025.35
GENESIS INTEGRATION,20771.44
PITNEY BOWES,20430.26
ST JOSEPH PRINT GROUP,19515.32
QUANTUM MANAGEMENT SERVICES,18645.00
GARDA SECURITY GROUP,18204.93
GRAYBRIDGE INTERNATIONAL CONSULTING,17946.47
PROTAK CONSULTING GROUP,17883.87
OTTAWA BUSINESS INTERIORS,16753.57
COSSETTE COMMUNICATIONS,16272.00
CANON,14871.94
ASOKAN BUSINESS INTERIORS,14367.75
GOSS GILROY,13969.63
DECISIVE GROUP,13883.07
LEXISNEXIS CANADA,12801.82
IPSS,12257.28
PURELOGIC,11258.19
BERLITZ CANADA,11232.00
THOMSON REUTERS,11178.00
TLD CANADA,10412.32
ALLSEATING,7160.52
INSIGHT SOFTWARE CANADA,2650.34
