d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2020-2021,234751.20,221200.36
11_defence,2021-2022,5087118.40,4724501.02
11_defence,2022-2023,5450042.43,4883330.34
5_transportation_and_logistics,2017-2018,877702.42,903906.72
5_transportation_and_logistics,2018-2019,817636.34,830118.98
5_transportation_and_logistics,2019-2020,1242438.77,1231863.02
5_transportation_and_logistics,2020-2021,931664.23,888848.04
5_transportation_and_logistics,2021-2022,1462246.96,1350731.25
5_transportation_and_logistics,2022-2023,1409302.45,1258844.76
7_travel,2018-2019,46560.05,47374.33
7_travel,2020-2021,99975.25,95417.86
7_travel,2021-2022,127513.26,119843.53
7_travel,2022-2023,179997.12,161481.19
9_human_capital,2022-2023,114049.82,102274.39
