owner_org,overall_total
pwgsc-tpsgc,3394881791.61
dnd-mdn,1820350181.02
esdc-edsc,1364094987.01
csa-asc,821847305.82
dfo-mpo,565561783.45
phac-aspc,563917427.42
dfatd-maecd,463265725.42
hc-sc,450832795.13
cic,293381286.91
csc-scc,266847804.58
tc,266294385.66
ic,233195511.18
vac-acc,229504756.50
nrcan-rncan,225052850.03
ec,218914724.07
aandc-aadnc,202834100.50
cbsa-asfc,168347491.89
pc,167991287.86
ssc-spc,144173387.82
rcmp-grc,136790539.32
ppsc-sppc,135926042.18
cra-arc,126267920.92
nrc-cnrc,119929222.70
cfia-acia,112365231.41
tbs-sct,109296197.67
aafc-aac,107945512.45
elections,102818055.65
isc-sac,75622010.55
pch,70791189.17
pco-bcp,62909493.63
statcan,52741142.83
fin,51898006.76
ps-sp,46517207.06
oag-bvg,28278551.96
irb-cisr,28107938.07
jus,27709301.77
cer-rec,27573690.04
iic-iac,21210286.10
osfi-bsif,20515180.39
fcac-acfc,17958106.86
cas-satj,17910056.03
cnsc-ccsn,17487028.96
infc,16548529.69
wage,14915889.26
nserc-crsng,12913289.41
nfb-onf,10791767.11
oic-ci,10060649.52
atssc-scdata,9095960.80
lac-bac,8865226.11
crtc,8091423.30
feddevontario,8009465.89
ocol-clo,7321889.16
opc-cpvp,7254619.56
iaac-aeic,7030881.25
chrc-ccdp,6482311.65
cihr-irsc,6357581.15
tsb-bst,5378063.06
sshrc-crsh,5154277.63
pmprb-cepmb,4260295.29
csps-efpc,4051427.51
psc-cfp,3654782.77
acoa-apeca,3582889.21
psic-ispc,3493260.70
wd-deo,3158511.73
osgg-bsgg,2979524.32
cta-otc,2724935.82
cpc-cpp,2720578.66
ijc-cmi,2586643.89
mpcc-cppm,2461561.86
cgc-ccg,2196640.80
fja-cmf,2130386.12
pbc-clcc,2119129.28
ced-dec,1817525.51
ocl-cal,1602530.45
ccohs-cchst,1594616.03
swc-cfc,1545352.32
fintrac-canafe,1369302.32
casdo-ocena,1338401.11
nbc-ccbn,1230806.98
polar-polaire,1227261.63
cannor,1180980.81
nsira-ossnr,1095481.15
fpcc-cpac,825457.30
cics-scic,542230.21
sirc-csars,482419.82
mgerc-ceegm,446008.16
erc-cee,413580.22
ocsec-bccst,379045.20
oci-bec,372988.66
vrab-tacra,280269.62
oto-boc,22107.60
pptc,10013.25
